Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,text_final_stemmed_tokenized,polarity_score,polarity
saya semakin paham semoga bisa kuliah ke Jepang amin🤗🤗😊,saya semakin paham semoga bisa kuliah ke Jepang amin,saya semakin paham semoga bisa kuliah ke jepang amin,saya semakin paham semoga bisa kuliah ke jepang amin,saya semakin paham semoga bisa kuliah ke jepang amin,"['saya', 'semakin', 'paham', 'semoga', 'bisa', 'kuliah', 'ke', 'jepang', 'amin']","['saya', 'semakin', 'paham', 'semoga', 'bisa', 'kuliah', 'ke', 'jepang', 'amin']","['paham', 'semoga', 'kuliah', 'jepang', 'amin']",paham semoga kuliah jepang amin,paham moga kuliah jepang amin,,"['paham', 'moga', 'kuliah', 'jepang', 'amin']",6,positive
"aplikasi nya bagus 👍 gampang di mengerti, suka banget rekomendasi deh yang buta huruf Jepang di jamin cepat hafal nya",aplikasi nya bagus  gampang di mengerti suka banget rekomendasi deh yang buta huruf Jepang di jamin cepat hafal nya,aplikasi nya bagus  gampang di mengerti suka banget rekomendasi deh yang buta huruf jepang di jamin cepat hafal nya,aplikasi nya bagus  gampang di mengerti suka banget rekomendasi deh yang buta huruf jepang di jamin cepat hafal nya,aplikasi nya bagus gampang di mengerti suka banget rekomendasi deh yang buta huruf jepang di jamin cepat hafal nya,"['aplikasi', 'nya', 'bagus', 'gampang', 'di', 'mengerti', 'suka', 'banget', 'rekomendasi', 'deh', 'yang', 'buta', 'huruf', 'jepang', 'di', 'jamin', 'cepat', 'hafal', 'nya']","['aplikasi', 'nya', 'bagus', 'gampang', 'di', 'mengerti', 'suka', 'banget', 'rekomendasi', 'deh', 'yang', 'buta', 'huruf', 'jepang', 'di', 'jamin', 'cepat', 'hafal', 'nya']","['aplikasi', 'bagus', 'gampang', 'mengerti', 'suka', 'banget', 'rekomendasi', 'deh', 'buta', 'huruf', 'jepang', 'jamin', 'cepat', 'hafal']",aplikasi bagus gampang mengerti suka banget rekomendasi deh buta huruf jepang jamin cepat hafal,aplikasi bagus gampang erti suka banget rekomendasi deh buta huruf jepang jamin cepat hafal,kanji,"['aplikasi', 'bagus', 'gampang', 'erti', 'suka', 'banget', 'rekomendasi', 'deh', 'buta', 'huruf', 'jepang', 'jamin', 'cepat', 'hafal']",28,positive
mantap enak banget belajar nya arigatogosaimashita,mantap enak banget belajar nya arigatogosaimashita,mantap enak banget belajar nya arigatogosaimashita,mantap enak banget belajar nya arigatogosaimashita,mantap enak banget belajar nya arigatogosaimashita,"['mantap', 'enak', 'banget', 'belajar', 'nya', 'arigatogosaimashita']","['mantap', 'enak', 'banget', 'belajar', 'nya', 'arigatogosaimashita']","['mantap', 'enak', 'banget', 'belajar', 'arigatogosaimashita']",mantap enak banget belajar arigatogosaimashita,mantap enak banget ajar arigatogosaimashita,,"['mantap', 'enak', 'banget', 'ajar', 'arigatogosaimashita']",10,positive
mantappppp,mantappppp,mantappppp,mantappppp,mantappppp,['mantappppp'],['mantappppp'],['mantappppp'],mantappppp,mantappppp,,['mantappppp'],0,neutral
apk nya bagus banget wajib sih bagi yang mau download cepetan download soalnya seru banget!!!!!!!!,apk nya bagus banget wajib sih bagi yang mau download cepetan download soalnya seru banget,apk nya bagus banget wajib sih bagi yang mau download cepetan download soalnya seru banget,apk nya bagus banget wajib sih bagi yang mau download cepetan download soalnya seru banget,apk nya bagus banget wajib sih bagi yang mau download cepetan download soalnya seru banget,"['apk', 'nya', 'bagus', 'banget', 'wajib', 'sih', 'bagi', 'yang', 'mau', 'download', 'cepetan', 'download', 'soalnya', 'seru', 'banget']","['apk', 'nya', 'bagus', 'banget', 'wajib', 'sih', 'bagi', 'yang', 'mau', 'download', 'cepetan', 'download', 'soalnya', 'seru', 'banget']","['apk', 'bagus', 'banget', 'wajib', 'download', 'cepetan', 'download', 'seru', 'banget']",apk bagus banget wajib download cepetan download seru banget,apk bagus banget wajib download cepetan download seru banget,,"['apk', 'bagus', 'banget', 'wajib', 'download', 'cepetan', 'download', 'seru', 'banget']",13,positive
aplikasi ini asik dan mudah dipelajari,aplikasi ini asik dan mudah dipelajari,aplikasi ini asik dan mudah dipelajari,aplikasi ini asik dan mudah dipelajari,aplikasi ini asik dan mudah dipelajari,"['aplikasi', 'ini', 'asik', 'dan', 'mudah', 'dipelajari']","['aplikasi', 'ini', 'asik', 'dan', 'mudah', 'dipelajari']","['aplikasi', 'asik', 'mudah', 'dipelajari']",aplikasi asik mudah dipelajari,aplikasi asik mudah ajar,,"['aplikasi', 'asik', 'mudah', 'ajar']",12,positive
bagus 🗿,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,,['bagus'],4,positive
makasih sudah menyediakan apk seperti ini,makasih sudah menyediakan apk seperti ini,makasih sudah menyediakan apk seperti ini,makasih sudah menyediakan apk seperti ini,terima kasih sudah menyediakan apk seperti ini,"['terima', 'kasih', 'sudah', 'menyediakan', 'apk', 'seperti', 'ini']","['terima', 'kasih', 'sudah', 'menyediakan', 'apk', 'seperti', 'ini']","['terima', 'kasih', 'menyediakan', 'apk']",terima kasih menyediakan apk,terima kasih sedia apk,,"['terima', 'kasih', 'sedia', 'apk']",5,positive
Keren banget aplikasinya. makasih 😊 🙏,Keren banget aplikasinya makasih,keren banget aplikasinya makasih,keren banget aplikasinya makasih,keren banget aplikasinya terima kasih,"['keren', 'banget', 'aplikasinya', 'terima', 'kasih']","['keren', 'banget', 'aplikasinya', 'terima', 'kasih']","['keren', 'banget', 'aplikasinya', 'terima', 'kasih']",keren banget aplikasinya terima kasih,keren banget aplikasi terima kasih,,"['keren', 'banget', 'aplikasi', 'terima', 'kasih']",10,positive
"terima kasih Hey Japan, sy suka sekali aplikasi ini.. sangat membantu untuk belajar bahasa Jepang untuk pemula seperti saya.",terima kasih Hey Japan sy suka sekali aplikasi ini sangat membantu untuk belajar bahasa Jepang untuk pemula seperti saya,terima kasih hey japan sy suka sekali aplikasi ini sangat membantu untuk belajar bahasa jepang untuk pemula seperti saya,terima kasih hey japan sy suka sekali aplikasi ini sangat membantu untuk belajar bahasa jepang untuk pemula seperti saya,terima kasih hai japan saya suka sekali aplikasi ini sangat membantu untuk belajar bahasa jepang untuk pemula seperti saya,"['terima', 'kasih', 'hai', 'japan', 'saya', 'suka', 'sekali', 'aplikasi', 'ini', 'sangat', 'membantu', 'untuk', 'belajar', 'bahasa', 'jepang', 'untuk', 'pemula', 'seperti', 'saya']","['terima', 'kasih', 'hai', 'japan', 'saya', 'suka', 'sekali', 'aplikasi', 'ini', 'sangat', 'membantu', 'untuk', 'belajar', 'bahasa', 'jepang', 'untuk', 'pemula', 'seperti', 'saya']","['terima', 'kasih', 'hai', 'japan', 'suka', 'aplikasi', 'membantu', 'belajar', 'bahasa', 'jepang', 'pemula']",terima kasih hai japan suka aplikasi membantu belajar bahasa jepang pemula,terima kasih hai japan suka aplikasi bantu ajar bahasa jepang mula,,"['terima', 'kasih', 'hai', 'japan', 'suka', 'aplikasi', 'bantu', 'ajar', 'bahasa', 'jepang', 'mula']",25,positive
baguss sekalii untukk belajarr bahasaa jepangg,baguss sekalii untukk belajarr bahasaa jepangg,baguss sekalii untukk belajarr bahasaa jepangg,baguss sekalii untukk belajarr bahasaa jepangg,baguss sekalii untukk belajarr bahasaa jepangg,"['baguss', 'sekalii', 'untukk', 'belajarr', 'bahasaa', 'jepangg']","['baguss', 'sekalii', 'untukk', 'belajarr', 'bahasaa', 'jepangg']","['baguss', 'sekalii', 'untukk', 'belajarr', 'bahasaa', 'jepangg']",baguss sekalii untukk belajarr bahasaa jepangg,baguss sekali untukk belajarr bahasaa jepangg,,"['baguss', 'sekali', 'untukk', 'belajarr', 'bahasaa', 'jepangg']",1,positive
"The best banget aplikasi ini, makin suka sama Bahasa Jepang!!!!❤❤❤",The best banget aplikasi ini makin suka sama Bahasa Jepang,the best banget aplikasi ini makin suka sama bahasa jepang,the best banget aplikasi ini makin suka sama bahasa jepang,the best banget aplikasi ini makin suka sama bahasa jepang,"['the', 'best', 'banget', 'aplikasi', 'ini', 'makin', 'suka', 'sama', 'bahasa', 'jepang']","['the', 'best', 'banget', 'aplikasi', 'ini', 'makin', 'suka', 'sama', 'bahasa', 'jepang']","['best', 'banget', 'aplikasi', 'suka', 'bahasa', 'jepang']",best banget aplikasi suka bahasa jepang,best banget aplikasi suka bahasa jepang,,"['best', 'banget', 'aplikasi', 'suka', 'bahasa', 'jepang']",10,positive
sangat membantu dalam belajar BHS Jepang untuk pemula,sangat membantu dalam belajar BHS Jepang untuk pemula,sangat membantu dalam belajar bhs jepang untuk pemula,sangat membantu dalam belajar bhs jepang untuk pemula,sangat membantu dalam belajar bhs jepang untuk pemula,"['sangat', 'membantu', 'dalam', 'belajar', 'bhs', 'jepang', 'untuk', 'pemula']","['sangat', 'membantu', 'dalam', 'belajar', 'bhs', 'jepang', 'untuk', 'pemula']","['membantu', 'belajar', 'bhs', 'jepang', 'pemula']",membantu belajar bhs jepang pemula,bantu ajar bhs jepang mula,,"['bantu', 'ajar', 'bhs', 'jepang', 'mula']",10,positive
bagus! bagus!,bagus bagus,bagus bagus,bagus bagus,bagus bagus,"['bagus', 'bagus']","['bagus', 'bagus']","['bagus', 'bagus']",bagus bagus,bagus bagus,,"['bagus', 'bagus']",8,positive
Nice Apk For Learn Japanese :3,Nice Apk For Learn Japanese,nice apk for learn japanese,nice apk for learn japanese,bagus apk for learn japanese,"['bagus', 'apk', 'for', 'learn', 'japanese']","['bagus', 'apk', 'for', 'learn', 'japanese']","['bagus', 'apk', 'learn', 'japanese']",bagus apk learn japanese,bagus apk learn japanese,,"['bagus', 'apk', 'learn', 'japanese']",4,positive
tinggal mengajar kan tulis kanji dan arti dari setiap huruf kanji,tinggal mengajar kan tulis kanji dan arti dari setiap huruf kanji,tinggal mengajar kan tulis kanji dan arti dari setiap huruf kanji,tinggal mengajar kan tulis kanji dan arti dari setiap huruf kanji,tinggal mengajar kan tulis kanji dan arti dari setiap huruf kanji,"['tinggal', 'mengajar', 'kan', 'tulis', 'kanji', 'dan', 'arti', 'dari', 'setiap', 'huruf', 'kanji']","['tinggal', 'mengajar', 'kan', 'tulis', 'kanji', 'dan', 'arti', 'dari', 'setiap', 'huruf', 'kanji']","['tinggal', 'mengajar', 'tulis', 'kanji', 'arti', 'huruf', 'kanji']",tinggal mengajar tulis kanji arti huruf kanji,tinggal ajar tulis kanji arti huruf kanji,kanji,"['tinggal', 'ajar', 'tulis', 'kanji', 'arti', 'huruf', 'kanji']",13,positive
aplikasi ny bagus banget dan seru. saya jadi ga bosen pas belajar dan jadi makin giat. terimakasih daveloper,aplikasi ny bagus banget dan seru saya jadi ga bosen pas belajar dan jadi makin giat terimakasih daveloper,aplikasi ny bagus banget dan seru saya jadi ga bosen pas belajar dan jadi makin giat terimakasih daveloper,aplikasi ny bagus banget dan seru saya jadi ga bosen pas belajar dan jadi makin giat terimakasih daveloper,aplikasi ny bagus banget dan seru saya jadi tidak bosen pas belajar dan jadi makin giat terimakasih daveloper,"['aplikasi', 'ny', 'bagus', 'banget', 'dan', 'seru', 'saya', 'jadi', 'tidak', 'bosen', 'pas', 'belajar', 'dan', 'jadi', 'makin', 'giat', 'terimakasih', 'daveloper']","['aplikasi', 'ny', 'bagus', 'banget', 'dan', 'seru', 'saya', 'jadi', 'tidak', 'bosen', 'pas', 'belajar', 'dan', 'jadi', 'makin', 'giat', 'terimakasih', 'daveloper']","['aplikasi', 'ny', 'bagus', 'banget', 'seru', 'bosen', 'pas', 'belajar', 'giat', 'terimakasih', 'daveloper']",aplikasi ny bagus banget seru bosen pas belajar giat terimakasih daveloper,aplikasi ny bagus banget seru bosen pas ajar giat terimakasih daveloper,,"['aplikasi', 'ny', 'bagus', 'banget', 'seru', 'bosen', 'pas', 'ajar', 'giat', 'terimakasih', 'daveloper']",29,positive
"Bagus, suka banget sama tampilannya menarik gitu. U have to download this app if u wanna learn Japanese.",Bagus suka banget sama tampilannya menarik gitu U have to download this app if u wanna learn Japanese,bagus suka banget sama tampilannya menarik gitu u have to download this app if u wanna learn japanese,bagus suka banget sama tampilannya menarik gitu u have to download this app if u wanna learn japanese,bagus suka banget sama tampilannya menarik begitu kamu have to download this app if kamu wanna learn japanese,"['bagus', 'suka', 'banget', 'sama', 'tampilannya', 'menarik', 'begitu', 'kamu', 'have', 'to', 'download', 'this', 'app', 'if', 'kamu', 'wan', 'na', 'learn', 'japanese']","['bagus', 'suka', 'banget', 'sama', 'tampilannya', 'menarik', 'begitu', 'kamu', 'have', 'to', 'download', 'this', 'app', 'if', 'kamu', 'wan', 'na', 'learn', 'japanese']","['bagus', 'suka', 'banget', 'tampilannya', 'menarik', 'download', 'app', 'wan', 'learn', 'japanese']",bagus suka banget tampilannya menarik download app wan learn japanese,bagus suka banget tampil tarik download app wan learn japanese,,"['bagus', 'suka', 'banget', 'tampil', 'tarik', 'download', 'app', 'wan', 'learn', 'japanese']",15,positive
seru bgtt sukii dayoo ><,seru bgtt sukii dayoo,seru bgtt sukii dayoo,seru bgtt sukii dayoo,seru bgtt sukii dayoo,"['seru', 'bgtt', 'sukii', 'dayoo']","['seru', 'bgtt', 'sukii', 'dayoo']","['seru', 'bgtt', 'sukii', 'dayoo']",seru bgtt sukii dayoo,seru bgtt suki dayoo,,"['seru', 'bgtt', 'suki', 'dayoo']",5,positive
Raijevu Nouzen,Raijevu Nouzen,raijevu nouzen,raijevu nouzen,raijevu nouzen,"['raijevu', 'nouzen']","['raijevu', 'nouzen']","['raijevu', 'nouzen']",raijevu nouzen,raijevu nouzen,,"['raijevu', 'nouzen']",0,neutral
Bagus banget saya menjadi lebih mudah untuk memahami bahasa Jepang,Bagus banget saya menjadi lebih mudah untuk memahami bahasa Jepang,bagus banget saya menjadi lebih mudah untuk memahami bahasa jepang,bagus banget saya menjadi lebih mudah untuk memahami bahasa jepang,bagus banget saya menjadi lebih mudah untuk memahami bahasa jepang,"['bagus', 'banget', 'saya', 'menjadi', 'lebih', 'mudah', 'untuk', 'memahami', 'bahasa', 'jepang']","['bagus', 'banget', 'saya', 'menjadi', 'lebih', 'mudah', 'untuk', 'memahami', 'bahasa', 'jepang']","['bagus', 'banget', 'mudah', 'memahami', 'bahasa', 'jepang']",bagus banget mudah memahami bahasa jepang,bagus banget mudah paham bahasa jepang,,"['bagus', 'banget', 'mudah', 'paham', 'bahasa', 'jepang']",10,positive
Mantab banget Gan,Mantab banget Gan,mantab banget gan,mantab banget gan,mantab banget juragan,"['mantab', 'banget', 'juragan']","['mantab', 'banget', 'juragan']","['mantab', 'banget', 'juragan']",mantab banget juragan,mantab banget juragan,,"['mantab', 'banget', 'juragan']",5,positive
bagus bangett ini sangat membantu buat kalian yang mau belajar b jepang,bagus bangett ini sangat membantu buat kalian yang mau belajar b jepang,bagus bangett ini sangat membantu buat kalian yang mau belajar b jepang,bagus bangett ini sangat membantu buat kalian yang mau belajar b jepang,bagus bangett ini sangat membantu buat kalian yang mau belajar b jepang,"['bagus', 'bangett', 'ini', 'sangat', 'membantu', 'buat', 'kalian', 'yang', 'mau', 'belajar', 'b', 'jepang']","['bagus', 'banget', 'ini', 'sangat', 'membantu', 'buat', 'kalian', 'yang', 'mau', 'belajar', 'b', 'jepang']","['bagus', 'banget', 'membantu', 'belajar', 'b', 'jepang']",bagus banget membantu belajar b jepang,bagus banget bantu ajar b jepang,,"['bagus', 'banget', 'bantu', 'ajar', 'b', 'jepang']",12,positive
Sugoii♡!!,Sugoii,sugoii,sugoii,sugoii,['sugoii'],['sugoii'],['sugoii'],sugoii,sugoii,,['sugoii'],0,neutral
"Terimakasih kepada Developer, saya sangat menyukai aplikasi Hey japan, sangat mudah untuk dimengerti, Terimakasih:) ❤",Terimakasih kepada Developer saya sangat menyukai aplikasi Hey japan sangat mudah untuk dimengerti Terimakasih,terimakasih kepada developer saya sangat menyukai aplikasi hey japan sangat mudah untuk dimengerti terimakasih,terimakasih kepada developer saya sangat menyukai aplikasi hey japan sangat mudah untuk dimengerti terimakasih,terimakasih kepada developer saya sangat menyukai aplikasi hai japan sangat mudah untuk dimengerti terimakasih,"['terimakasih', 'kepada', 'developer', 'saya', 'sangat', 'menyukai', 'aplikasi', 'hai', 'japan', 'sangat', 'mudah', 'untuk', 'dimengerti', 'terimakasih']","['terimakasih', 'kepada', 'developer', 'saya', 'sangat', 'menyukai', 'aplikasi', 'hai', 'japan', 'sangat', 'mudah', 'untuk', 'dimengerti', 'terimakasih']","['terimakasih', 'developer', 'menyukai', 'aplikasi', 'hai', 'japan', 'mudah', 'dimengerti', 'terimakasih']",terimakasih developer menyukai aplikasi hai japan mudah dimengerti terimakasih,terimakasih developer suka aplikasi hai japan mudah erti terimakasih,,"['terimakasih', 'developer', 'suka', 'aplikasi', 'hai', 'japan', 'mudah', 'erti', 'terimakasih']",21,positive
Sugoi desu ne,Sugoi desu ne,sugoi desu ne,sugoi desu ne,sugoi desu ini,"['sugoi', 'desu', 'ini']","['sugoi', 'desu', 'ini']","['sugoi', 'desu']",sugoi desu,sugoi desu,,"['sugoi', 'desu']",0,neutral
Jujur aplikasi nya bagus banget 😩💘🌸... belum ada seminggu aku udah hapal beberapa..kalian wajib download aplikasinya 😉...jangan lupa rate bintang 5..Disini kalian bakal diajarkan cara membaca dan menulis Jepang.. pokoknya yang lain lain😉🌸...Aku kasih Bintang 5 karena aplikasi nya berguna banget..,Jujur aplikasi nya bagus banget  belum ada seminggu aku udah hapal beberapakalian wajib download aplikasinya jangan lupa rate bintang Disini kalian bakal diajarkan cara membaca dan menulis Jepang pokoknya yang lain lainAku kasih Bintang  karena aplikasi nya berguna banget,jujur aplikasi nya bagus banget  belum ada seminggu aku udah hapal beberapakalian wajib download aplikasinya jangan lupa rate bintang disini kalian bakal diajarkan cara membaca dan menulis jepang pokoknya yang lain lainaku kasih bintang  karena aplikasi nya berguna banget,jujur aplikasi nya bagus banget  belum ada seminggu aku udah hapal beberapakalian wajib download aplikasinya jangan lupa rate bintang disini kalian bakal diajarkan cara membaca dan menulis jepang pokoknya yang lain lainaku kasih bintang  karena aplikasi nya berguna banget,jujur aplikasi nya bagus banget belum ada seminggu aku sudah hapal beberapakalian wajib download aplikasinya jangan lupa rate bintang disini kalian bakal diajarkan cara membaca dan menulis jepang pokoknya yang lain lainaku kasih bintang karena aplikasi nya berguna banget,"['jujur', 'aplikasi', 'nya', 'bagus', 'banget', 'belum', 'ada', 'seminggu', 'aku', 'sudah', 'hapal', 'beberapakalian', 'wajib', 'download', 'aplikasinya', 'jangan', 'lupa', 'rate', 'bintang', 'disini', 'kalian', 'bakal', 'diajarkan', 'cara', 'membaca', 'dan', 'menulis', 'jepang', 'pokoknya', 'yang', 'lain', 'lainaku', 'kasih', 'bintang', 'karena', 'aplikasi', 'nya', 'berguna', 'banget']","['jujur', 'aplikasi', 'nya', 'bagus', 'banget', 'belum', 'ada', 'seminggu', 'aku', 'sudah', 'hapal', 'beberapakalian', 'wajib', 'download', 'aplikasinya', 'jangan', 'lupa', 'rate', 'bintang', 'disini', 'kalian', 'bakal', 'diajarkan', 'cara', 'membaca', 'dan', 'menulis', 'jepang', 'pokoknya', 'yang', 'lain', 'lainaku', 'kasih', 'bintang', 'karena', 'aplikasi', 'nya', 'berguna', 'banget']","['jujur', 'aplikasi', 'bagus', 'banget', 'seminggu', 'hapal', 'beberapakalian', 'wajib', 'download', 'aplikasinya', 'lupa', 'rate', 'bintang', 'diajarkan', 'membaca', 'menulis', 'jepang', 'pokoknya', 'lainaku', 'kasih', 'bintang', 'aplikasi', 'berguna', 'banget']",jujur aplikasi bagus banget seminggu hapal beberapakalian wajib download aplikasinya lupa rate bintang diajarkan membaca menulis jepang pokoknya lainaku kasih bintang aplikasi berguna banget,jujur aplikasi bagus banget minggu hapal beberapakalian wajib download aplikasi lupa rate bintang ajar baca tulis jepang pokok lainaku kasih bintang aplikasi guna banget,,"['jujur', 'aplikasi', 'bagus', 'banget', 'minggu', 'hapal', 'beberapakalian', 'wajib', 'download', 'aplikasi', 'lupa', 'rate', 'bintang', 'ajar', 'baca', 'tulis', 'jepang', 'pokok', 'lainaku', 'kasih', 'bintang', 'aplikasi', 'guna', 'banget']",33,positive
Bagus Sekali Meski Di Menulis Alfabet Kalau Jelek Dibenerin,Bagus Sekali Meski Di Menulis Alfabet Kalau Jelek Dibenerin,bagus sekali meski di menulis alfabet kalau jelek dibenerin,bagus sekali meski di menulis alfabet kalau jelek dibenerin,bagus sekali meski di menulis alfabet kalau jelek dibenerin,"['bagus', 'sekali', 'meski', 'di', 'menulis', 'alfabet', 'kalau', 'jelek', 'dibenerin']","['bagus', 'sekali', 'meski', 'di', 'menulis', 'alfabet', 'kalau', 'jelek', 'dibenerin']","['bagus', 'menulis', 'alfabet', 'jelek', 'dibenerin']",bagus menulis alfabet jelek dibenerin,bagus tulis alfabet jelek dibenerin,,"['bagus', 'tulis', 'alfabet', 'jelek', 'dibenerin']",1,positive
aplikasi yang bagus untuk pemula yang ingin belajar bahasa jepang,aplikasi yang bagus untuk pemula yang ingin belajar bahasa jepang,aplikasi yang bagus untuk pemula yang ingin belajar bahasa jepang,aplikasi yang bagus untuk pemula yang ingin belajar bahasa jepang,aplikasi yang bagus untuk pemula yang ingin belajar bahasa jepang,"['aplikasi', 'yang', 'bagus', 'untuk', 'pemula', 'yang', 'ingin', 'belajar', 'bahasa', 'jepang']","['aplikasi', 'yang', 'bagus', 'untuk', 'pemula', 'yang', 'ingin', 'belajar', 'bahasa', 'jepang']","['aplikasi', 'bagus', 'pemula', 'belajar', 'bahasa', 'jepang']",aplikasi bagus pemula belajar bahasa jepang,aplikasi bagus mula ajar bahasa jepang,,"['aplikasi', 'bagus', 'mula', 'ajar', 'bahasa', 'jepang']",18,positive
bagusssa bgt pelajaraannya mudah mengerti!!,bagusssa bgt pelajaraannya mudah mengerti,bagusssa bgt pelajaraannya mudah mengerti,bagusssa bgt pelajaraannya mudah mengerti,bagusssa banget pelajaraannya mudah mengerti,"['bagusssa', 'banget', 'pelajaraannya', 'mudah', 'mengerti']","['bagusssa', 'banget', 'pelajaraannya', 'mudah', 'mengerti']","['bagusssa', 'banget', 'pelajaraannya', 'mudah', 'mengerti']",bagusssa banget pelajaraannya mudah mengerti,bagusssa banget pelajaraannya mudah erti,,"['bagusssa', 'banget', 'pelajaraannya', 'mudah', 'erti']",4,positive
this app is very good. I wanna learn more of Japanese so I can understand what my favorite Japanese animator in YouTube is saying <3,this app is very good I wanna learn more of Japanese so I can understand what my favorite Japanese animator in YouTube is saying,this app is very good i wanna learn more of japanese so i can understand what my favorite japanese animator in youtube is saying,this app is very good i wanna learn more of japanese so i can understand what my favorite japanese animator in youtube is saying,this app is very bagus i wanna learn more of japanese so i belum understand what my favorite japanese animator in youtube is saying,"['this', 'app', 'is', 'very', 'bagus', 'i', 'wan', 'na', 'learn', 'more', 'of', 'japanese', 'so', 'i', 'belum', 'understand', 'what', 'my', 'favorite', 'japanese', 'animator', 'in', 'youtube', 'is', 'saying']","['this', 'app', 'is', 'very', 'bagus', 'i', 'wan', 'na', 'learn', 'more', 'of', 'japanese', 'so', 'i', 'belum', 'understand', 'what', 'my', 'favorite', 'japanese', 'animator', 'in', 'youtube', 'is', 'saying']","['app', 'bagus', 'wan', 'learn', 'japanese', 'understand', 'favorite', 'japanese', 'animator', 'youtube', 'saying']",app bagus wan learn japanese understand favorite japanese animator youtube saying,app bagus wan learn japanese understand favorite japanese animator youtube saying,,"['app', 'bagus', 'wan', 'learn', 'japanese', 'understand', 'favorite', 'japanese', 'animator', 'youtube', 'saying']",12,positive
sangat bermanfaat untuk memperluas wawasan dalam berbahasa jepang,sangat bermanfaat untuk memperluas wawasan dalam berbahasa jepang,sangat bermanfaat untuk memperluas wawasan dalam berbahasa jepang,sangat bermanfaat untuk memperluas wawasan dalam berbahasa jepang,sangat bermanfaat untuk memperluas wawasan dalam berbahasa jepang,"['sangat', 'bermanfaat', 'untuk', 'memperluas', 'wawasan', 'dalam', 'berbahasa', 'jepang']","['sangat', 'bermanfaat', 'untuk', 'memperluas', 'wawasan', 'dalam', 'berbahasa', 'jepang']","['bermanfaat', 'memperluas', 'wawasan', 'berbahasa', 'jepang']",bermanfaat memperluas wawasan berbahasa jepang,manfaat luas wawas bahasa jepang,,"['manfaat', 'luas', 'wawas', 'bahasa', 'jepang']",12,positive
Gk bisa naik level!!!!,Gk bisa naik level,gk bisa naik level,gk bisa naik level,tidak bisa naik level,"['tidak', 'bisa', 'naik', 'level']","['tidak', 'bisa', 'naik', 'level']",['level'],level,level,,['level'],0,neutral
Mahasiwa,Mahasiwa,mahasiwa,mahasiwa,mahasiwa,['mahasiwa'],['mahasiwa'],['mahasiwa'],mahasiwa,mahasiwa,,['mahasiwa'],0,neutral
suka banget sama aplikasi nya ❤️❤️❤️❤️❤️,suka banget sama aplikasi nya,suka banget sama aplikasi nya,suka banget sama aplikasi nya,suka banget sama aplikasi nya,"['suka', 'banget', 'sama', 'aplikasi', 'nya']","['suka', 'banget', 'sama', 'aplikasi', 'nya']","['suka', 'banget', 'aplikasi']",suka banget aplikasi,suka banget aplikasi,,"['suka', 'banget', 'aplikasi']",6,positive
aplikasi nya bagus bagus!! aku suka,aplikasi nya bagus bagus aku suka,aplikasi nya bagus bagus aku suka,aplikasi nya bagus bagus aku suka,aplikasi nya bagus bagus aku suka,"['aplikasi', 'nya', 'bagus', 'bagus', 'aku', 'suka']","['aplikasi', 'nya', 'bagus', 'bagus', 'aku', 'suka']","['aplikasi', 'bagus', 'bagus', 'suka']",aplikasi bagus bagus suka,aplikasi bagus bagus suka,,"['aplikasi', 'bagus', 'bagus', 'suka']",13,positive
wawww bagus banget 👍👍👍,wawww bagus banget,wawww bagus banget,wawww bagus banget,wawww bagus banget,"['wawww', 'bagus', 'banget']","['wawww', 'bagus', 'banget']","['wawww', 'bagus', 'banget']",wawww bagus banget,wawww bagus banget,,"['wawww', 'bagus', 'banget']",5,positive
keren!!!!,keren,keren,keren,keren,['keren'],['keren'],['keren'],keren,keren,,['keren'],2,positive
